timestamp,mac,test_uuid,type,direction,interface,host,isp,duration_s,transfered_mbytes,tput_mbps,std_tput_mbps,max_tput_mbps,min_tput_mbps,median_tput_mbps
2024-01-31T10:31:49-05:00,DC-A6-32-1D-A4-E0,10eb6df0-82f8-4194-8343-b6b4355f1af1,iperf,downlink,eth0,ns-mn1.cse.nd.edu:5210,unknown,5.000087,401.020632,641.6218469798625,40.06048968183976,687.7171818868842,593.2754544758027,641.9982756230603
2024-05-18T03:29:18-04:00,DC-A6-32-1D-A4-E0,071acfe2-a93f-4e94-8c9d-546a90875ac0,iperf,uplink,eth0,ns-mn1.cse.nd.edu:5209,unknown,5.041938,14.88544,23.618600625394443,5.4251978186371534,37.47799789799137,22.875050184652153,24.668824996401366
2024-05-06T22:42:40-04:00,DC-A6-32-1D-A4-E0,fb550f9f-ee5e-40a9-af35-6f164d73da9e,iperf,downlink,eth0,ns-mn1.cse.nd.edu:5219,unknown,5.00009,387.585064,620.1249401510772,87.81177628052795,697.920378060275,451.9365247129057,655.348606705133
2024-01-04T13:46:47-05:00,DC-A6-32-1D-A4-E0,unknown,iperf,downlink,wlan0,ns-mn1.cse.nd.edu:5201,unknown,10.000185,92.22312,73.7771311230742,9.442458725029043,88.18890789650355,52.91666044645968,76.94123528923961
2024-01-01T02:13:49-05:00,DC-A6-32-1D-A4-E0,unknown,iperf,downlink,eth0,ns-mn1.cse.nd.edu:5215,unknown,10.000134,822.75316,658.19370820431,41.44615760706699,727.8543935857521,557.1695049755506,659.0280044305609
2024-03-22T17:03:43-04:00,DC-A6-32-1D-A4-E0,55c0aacb-0f6a-47c3-80aa-f0743af9facc,iperf,uplink,eth0,ns-mn1.cse.nd.edu:5210,unknown,5.030455,14.888336,23.677120260493336,6.6774615320830355,40.46696367145875,23.03857002870748,23.592832
2024-03-27T09:34:41-04:00,DC-A6-32-1D-A4-E0,8553cf07-30c0-449b-a48b-82ae602d0e6e,iperf,uplink,wlan0,ns-mn1.cse.nd.edu:5219,unknown,5.178369,11.394312,17.602935596130752,0.28843472803941805,22.160889633451976,21.366930896839378,21.768576
2024-02-16T05:22:08-05:00,DC-A6-32-1D-A4-E0,ad31e55d-a274-4525-b6b0-6e53d3a374e3,iperf,uplink,wlan0,ns-mn1.cse.nd.edu:5209,unknown,5.144225,10.544336,16.397939048155944,6.160078474021674,24.55304594041621,8.522048,24.097947503148152
2024-02-18T23:04:09-05:00,DC-A6-32-1D-A4-E0,f7347e67-4508-4276-9026-217f0182bc7c,iperf,downlink,eth0,ns-mn1.cse.nd.edu:5213,unknown,5.000082,441.971592,707.142950055619,38.794675596040705,769.081045254821,649.3882193907699,706.552687804613
2024-05-17T17:55:40-04:00,DC-A6-32-1D-A4-E0,38a8c129-17ac-4571-9c96-033467f5c491,iperf,downlink,eth0,ns-mn1.cse.nd.edu:5219,unknown,5.000075,484.514344,775.2113222301665,33.34869271254444,810.1536794610573,722.3852223820566,793.1768102490735
2024-03-20T10:41:46-04:00,DC-A6-32-1D-A4-E0,f286a6a0-f94f-4908-ae31-1af4f3cab49c,iperf,uplink,eth0,ns-mn1.cse.nd.edu:5202,unknown,5.043907,15.011416,23.809187600009277,5.661819251421235,38.18367012465136,23.609769483969227,24.036421056684755
2024-03-19T14:06:24-04:00,DC-A6-32-1D-A4-E0,901b2131-8e21-4f98-b6d8-8b860cf8a972,iperf,uplink,wlan0,ns-mn1.cse.nd.edu:5220,unknown,5.149778,13.247752,20.57991936739797,1.802626682540034,28.25466626998427,23.06865000002098,24.117368750604573
2024-04-11T10:50:13-04:00,DC-A6-32-1D-A4-E0,00916951-f685-4947-8e79-8a2649eaa58c,iperf,downlink,wlan0,ns-mn1.cse.nd.edu:5205,unknown,5.000194,15.894696,25.430526895556454,19.670307021588943,52.695402419429506,4.13559966492988,13.29848510764922
2024-02-05T04:23:36-05:00,DC-A6-32-1D-A4-E0,139c8ddc-eb7d-4769-8883-33167f6531c4,iperf,uplink,wlan0,ns-mn1.cse.nd.edu:5220,unknown,5.03415,14.963632,23.779397912259267,8.01196228700699,42.98804929592825,22.018906939211433,23.068695375023687
2024-02-16T23:00:02-05:00,DC-A6-32-1D-A4-E0,9ef992e6-d70c-468d-ab86-9cda1a2c9d1f,iperf,uplink,wlan0,ns-mn1.cse.nd.edu:5215,unknown,5.142075,10.54144,16.400289766290847,6.030483002630451,26.085418776630117,9.71420672601068,21.362577676572275
